word,frequency
и,80
да,42
на,38
в,29
майко,27
ти,25
с,21
си,20
не,20
за,20
аз,14
се,14
но,14
ми,13
че,12
сърце,11
а,9
мене,8
му,8
пък,8
ли,7
та,7
що,7
братя,7
ще,7
дето,7
там,7
е,7
мале,6
тогаз,6
глас,6
със,6
либе,6
юнашка,6
боже,6
душа,5
съм,5
ме,5
туй,5
като,5
свобода,5
кажи,5
него,5
о,5
тъй,4
тебе,4
мили,4
те,4
вече,4
една,4
как,4
над,4
по,4
загина,4
мойте,4
пред,4
го,4
песен,4
две,4
жив,4
юнак,4
който,4
мойта,3
младост,3
знаят,3
любя,3
от,3
теб,3
сила,3
таз,3
баща,3
без,3
брате,3
душата,3
мило,3
ах,3
ръка,3
то,3
плач,3
народен,3
плачи,3
зная,3
може,3
през,3
гледа,3
хубаво,3
черни,3
куршум,3
де,3
ако,3
помнят,3
брат,3
затуй,3
земята,3
дружина,3
щат,3
във,3
уста,3
той,3
лежи,3
юнакът,3
пече,3
пее,3
песни,3
жално,2
ази,2
бащино,2
рани,2
зелена,2
веч,2
нямам,2
тая,2
какво,2
мечти,2
мисли,2
любов,2
много,2
клета,2
падна,2
прегърна,2
искам,2
нека,2
брата,2
глупци,2
сърцето,2
са,2
кой,2
никой,2
нито,2
играе,2
отзив,2
народа,2
гроб,2
тоя,2
нищо,2
няма,2
хайдутин,2
първо,2
чедо,2
черна,2
млади,2
чужбина,2
млад,2
тиха,2
бяла,2
юнашко,2
очи,2
скръбно,2
ги,2
прощавай,2
пушка,2
сабя,2
га,2
село,2
излез,2
кажат,2
невръстни,2
им,2
глава,2
търсят,2
скали,2
кърви,2
пушката,2
хоро,2
дойдат,2
моята,2
защо,2
думи,2
сълзи,2
гърди,2
кога,2
здрав,2
до,2
байряк,2
чело,2
пушки,2
рамо,2
ела,2
при,2
красно,2
правда,2
балкана,2
рана,2
друга,2
слънцето,2
полето,2
кръвта,2
тече,2
земя,2
пеят,2
раната,2
тихо,2
мила,2
сестро,2
караджата,2
небесата,2
мен,2
комуто,2
робът,2
гробът,2
пустиня,2
плачеш,2
грозно,2
майце,1
пела,1
три,1
годин,1
клела,1
скитник,1
ходя,1
злочестен,1
срещам,1
това,1
мрази,1
пропил,1
имане,1
покрих,1
дълбоки,1
съхне,1
вехне,1
люто,1
язвена,1
весел,1
гледат,1
другари,1
тях,1
наедно,1
смея,1
тлея,1
слана,1
попари,1
отде,1
приятел,1
разкрия,1
кого,1
вярвам,1
страдая,1
освен,1
никого,1
вяра,1
тука,1
надявам,1
догаря,1
мечтаях,1
щастие,1
слава,1
видим,1
двама,1
усещах,1
желаях,1
вси,1
желби,1
приготви,1
яма,1
сал,1
остана,1
прегръдки,1
твои,1
младо,1
страдна,1
оплачат,1
горкана,1
сестра,1
злоба,1
измръзнат,1
жили,1
изгния,1
гроба,1
към,1
тежко,1
живее,1
между,1
неразбрани,1
огън,1
тлее,1
люти,1
отечество,1
неговият,1
завет,1
пазя,1
себе,1
губя,1
тия,1
мразя,1
мрачни,1
бурни,1
разпнали,1
млада,1
турне,1
страда,1
знае,1
радост,1
ни,1
безумно,1
из,1
често,1
скришом,1
плача,1
печален,1
тача,1
мъртъв,1
свят,1
коварен,1
искрен,1
благороден,1
твойта,1
й,1
божий,1
прощаване,1
г,1
тъжи,1
станах,1
бунтовник,1
оставих,1
жалиш,1
кълни,1
проклинай,1
турска,1
прокуда,1
нас,1
пропъди,1
тази,1
тежка,1
ходим,1
скитаме,1
немили,1
клети,1
недраги,1
мил,1
утре,1
премина,1
дунава,1
правя,1
кат,1
родила,1
мъжко,1
трае,1
турчин,1
бесней,1
огнище,1
пораснал,1
мляко,1
засукал,1
вдигнеше,1
онази,1
усмивка,1
впиеше,1
чернеят,1
прости,1
нарамих,1
тичам,1
срещу,1
врагът,1
безверни,1
драго,1
заловя,1
каквото,1
покаже,1
честта,1
чуеш,1
майнольо,1
пропей,1
момци,1
наскачат,1
питай,1
остало,1
азе,1
паднал,1
пронизан,1
слушай,1
хората,1
нехранимайка,1
излезе,1
иди,1
у,1
дома,1
