word,frequency
и,262
на,139
в,133
от,110
се,101
е,89
с,84
да,75
ще,61
за,56
но,52
а,52
си,48
не,46
като,37
ли,37
все,37
ти,37
ни,35
пак,35
тук,28
всичко,25
че,24
по,23
какво,23
само,23
тоя,21
свят,20
нас,19
някой,19
няма,19
към,19
над,18
слънцето,18
през,18
са,18
днес,18
вече,17
ден,16
със,16
до,16
би,15
земята,15
защо,14
те,14
още,13
го,13
щом,13
аз,13
може,13
този,13
животът,12
кой,12
него,12
живота,12
край,11
път,11
едно,11
или,11
ние,11
ми,11
небето,11
дъжд,11
трева,10
всички,10
след,10
под,10
о,10
тая,10
живот,10
съм,10
нима,10
му,10
пред,10
тъй,10
сме,9
светът,9
своя,9
утре,9
теб,9
това,9
нощта,9
ме,9
там,9
париж,9
която,8
сам,8
една,8
душата,8
нощ,8
страх,8
къде,8
края,8
човек,8
уста,7
я,7
сърце,7
смъртта,7
колко,7
сън,7
кръв,7
уви,7
върху,7
нито,7
сърцето,7
един,7
друг,7
болка,7
всеки,7
както,7
души,7
той,7
слънце,6
то,6
отдавна,6
бъдещето,6
пролет,6
как,6
вървиш,6
тя,6
душа,6
очите,6
тях,6
сред,6
накрая,6
някаква,6
тази,6
времето,6
навярно,6
сена,6
бавно,5
прах,5
става,5
пада,5
ако,5
вечер,5
дъжда,5
зори,5
вода,5
вечността,5
смърт,5
пръстта,5
които,5
душите,5
макар,5
без,5
винаги,5
небе,5
поет,5
свойта,5
хора,4
миг,4
спомен,4
пепел,4
сякаш,4
трябва,4
отива,4
ги,4
дърветата,4
час,4
върви,4
мракът,4
отново,4
им,4
мен,4
виси,4
черен,4
остава,4
нея,4
дни,4
тогава,4
при,4
град,4
кула,4
плът,4
зад,4
откъде,4
утрото,4
зъби,4
чак,4
нищо,4
тебе,4
из,3
падат,3
всяка,3
крачка,3
човекът,3
нов,3
има,3
старец,3
слава,3
нещо,3
надежда,3
листа,3
древността,3
кварталът,3
забива,3
гори,3
език,3
мъка,3
после,3
мъчи,3
зелено,3
хълма,3
живеем,3
тъмнината,3
мрак,3
стената,3
